Call Type,Call Date,Dispatch DtTm,On Scene DtTm,Dispatch to On Scene duration,Neighborhooods - Analysis Boundaries
Medical Incident,12/21/2018,12/21/2018 1:12:14 PM,12/21/2018 1:13:17 PM,1,Visitacion Valley
Medical Incident,02/24/2019,02/24/2019 1:20:02 PM,02/24/2019 1:21:07 PM,1,Visitacion Valley
Medical Incident,01/20/2019,01/20/2019 8:45:08 PM,01/20/2019 8:46:16 PM,1,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 11:06:43 AM,12/22/2018 11:08:20 AM,1,Visitacion Valley
Medical Incident,12/19/2018,12/19/2018 7:16:24 PM,12/19/2018 7:18:13 PM,1,Visitacion Valley
Medical Incident,12/21/2018,12/21/2018 12:44:37 PM,12/21/2018 12:46:37 PM,2,Visitacion Valley
Medical Incident,12/19/2018,12/19/2018 11:24:46 AM,12/19/2018 11:26:47 AM,2,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 1:58:30 PM,01/02/2019 2:00:33 PM,2,Visitacion Valley
Medical Incident,02/27/2019,02/27/2019 6:01:08 PM,02/27/2019 6:03:11 PM,2,Visitacion Valley
Medical Incident,12/02/2018,12/02/2018 8:15:17 PM,12/02/2018 8:17:23 PM,2,Visitacion Valley
Medical Incident,12/13/2018,12/13/2018 4:25:01 PM,12/13/2018 4:27:08 PM,2,Visitacion Valley
Medical Incident,02/26/2019,02/26/2019 9:42:57 AM,02/26/2019 9:45:07 AM,2,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 7:17:27 PM,01/02/2019 7:19:47 PM,2,Visitacion Valley
Medical Incident,12/16/2018,12/16/2018 11:44:59 AM,12/16/2018 11:47:20 AM,2,Visitacion Valley
Medical Incident,01/17/2019,01/17/2019 4:51:23 AM,01/17/2019 4:53:48 AM,2,Visitacion Valley
Medical Incident,02/19/2019,02/19/2019 9:05:16 PM,02/19/2019 9:07:44 PM,2,Visitacion Valley
Medical Incident,02/11/2019,02/11/2019 1:03:15 PM,02/11/2019 1:05:45 PM,2,Visitacion Valley
Medical Incident,12/03/2018,12/03/2018 11:02:36 AM,12/03/2018 11:05:09 AM,2,Visitacion Valley
Medical Incident,01/19/2019,01/19/2019 10:59:39 AM,01/19/2019 11:02:17 AM,2,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 1:34:10 AM,01/02/2019 1:36:51 AM,2,Visitacion Valley
Medical Incident,01/26/2019,01/26/2019 12:02:22 PM,01/26/2019 12:05:04 PM,2,Visitacion Valley
Medical Incident,02/28/2019,02/28/2019 3:54:48 PM,02/28/2019 3:57:32 PM,2,Visitacion Valley
Medical Incident,12/13/2018,12/13/2018 3:32:48 PM,12/13/2018 3:35:37 PM,2,Visitacion Valley
Medical Incident,02/28/2019,02/28/2019 3:07:32 PM,02/28/2019 3:10:21 PM,2,Visitacion Valley
Medical Incident,12/05/2018,12/05/2018 12:11:09 PM,12/05/2018 12:14:01 PM,2,Visitacion Valley
Medical Incident,01/14/2019,01/14/2019 2:12:22 PM,01/14/2019 2:15:15 PM,2,Visitacion Valley
Medical Incident,02/26/2019,02/26/2019 11:37:33 AM,02/26/2019 11:40:27 AM,2,Visitacion Valley
Medical Incident,12/23/2018,12/23/2018 10:24:27 AM,12/23/2018 10:27:24 AM,2,Visitacion Valley
Medical Incident,12/02/2018,12/02/2018 10:07:10 AM,12/02/2018 10:10:08 AM,2,Visitacion Valley
Medical Incident,12/26/2018,12/26/2018 12:03:36 PM,12/26/2018 12:06:35 PM,2,Visitacion Valley
Medical Incident,01/17/2019,01/17/2019 8:06:54 AM,01/17/2019 8:09:53 AM,2,Visitacion Valley
Medical Incident,02/10/2019,02/10/2019 12:44:04 PM,02/10/2019 12:47:04 PM,3,Visitacion Valley
Medical Incident,01/19/2019,01/19/2019 10:59:39 AM,01/19/2019 11:02:42 AM,3,Visitacion Valley
Medical Incident,12/21/2018,12/21/2018 1:09:48 PM,12/21/2018 1:12:57 PM,3,Visitacion Valley
Medical Incident,02/15/2019,02/15/2019 3:54:54 PM,02/15/2019 3:58:04 PM,3,Visitacion Valley
Medical Incident,01/05/2019,01/05/2019 1:25:39 PM,01/05/2019 1:28:51 PM,3,Visitacion Valley
Medical Incident,02/02/2019,02/02/2019 4:34:57 PM,02/02/2019 4:38:11 PM,3,Visitacion Valley
Medical Incident,12/05/2018,12/05/2018 12:12:03 PM,12/05/2018 12:15:18 PM,3,Visitacion Valley
Medical Incident,12/03/2018,12/03/2018 8:52:17 PM,12/03/2018 8:55:34 PM,3,Visitacion Valley
Medical Incident,12/16/2018,12/16/2018 12:24:23 PM,12/16/2018 12:27:40 PM,3,Visitacion Valley
Medical Incident,02/03/2019,02/03/2019 12:15:31 PM,02/03/2019 12:18:48 PM,3,Visitacion Valley
Medical Incident,12/06/2018,12/06/2018 7:03:27 AM,12/06/2018 7:06:49 AM,3,Visitacion Valley
Medical Incident,12/19/2018,12/19/2018 7:14:41 PM,12/19/2018 7:18:04 PM,3,Visitacion Valley
Medical Incident,01/30/2019,01/30/2019 12:42:57 PM,01/30/2019 12:46:20 PM,3,Visitacion Valley
Medical Incident,02/11/2019,02/11/2019 1:02:10 PM,02/11/2019 1:05:36 PM,3,Visitacion Valley
Medical Incident,12/21/2018,12/21/2018 5:55:30 PM,12/21/2018 5:58:56 PM,3,Visitacion Valley
Medical Incident,01/07/2019,01/07/2019 10:02:36 AM,01/07/2019 10:06:02 AM,3,Visitacion Valley
Medical Incident,01/05/2019,01/05/2019 10:39:48 PM,01/05/2019 10:43:15 PM,3,Visitacion Valley
Medical Incident,01/21/2019,01/21/2019 6:50:53 PM,01/21/2019 6:54:21 PM,3,Visitacion Valley
Medical Incident,12/31/2018,12/31/2018 3:10:17 PM,12/31/2018 3:13:47 PM,3,Visitacion Valley
Medical Incident,01/12/2019,01/12/2019 1:21:32 PM,01/12/2019 1:25:02 PM,3,Visitacion Valley
Medical Incident,02/22/2019,02/22/2019 5:23:17 PM,02/22/2019 5:26:52 PM,3,Visitacion Valley
Medical Incident,12/03/2018,12/03/2018 1:54:47 PM,12/03/2018 1:58:24 PM,3,Visitacion Valley
Medical Incident,12/21/2018,12/21/2018 3:35:32 AM,12/21/2018 3:39:11 AM,3,Visitacion Valley
Medical Incident,12/18/2018,12/18/2018 6:51:52 PM,12/18/2018 6:55:32 PM,3,Visitacion Valley
Medical Incident,02/24/2019,02/24/2019 1:17:50 PM,02/24/2019 1:21:30 PM,3,Visitacion Valley
Medical Incident,12/02/2018,12/02/2018 8:13:43 PM,12/02/2018 8:17:24 PM,3,Visitacion Valley
Medical Incident,01/01/2019,01/01/2019 8:05:52 PM,01/01/2019 8:09:33 PM,3,Visitacion Valley
Medical Incident,01/20/2019,01/20/2019 9:32:52 PM,01/20/2019 9:36:33 PM,3,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 9:09:38 PM,12/22/2018 9:13:21 PM,3,Visitacion Valley
